,Unnamed: 0,recordId,priority,district,description,callNumber,incidentLocation,Latitude,Longitude,date
704433,3744655,2977424,Medium,NW,NARCOTICSOutside,P173051507,5300 BLK CORDELIA AV,39.347132,-76.68310699999999,2017-11-01
201812,1475031,2566801,Medium,CD,NARCOTICS INSIDE,P171601094,500 W LEXINGTON ST,39.291413,-76.62305,2017-06-09
157035,763567,2692704,Medium,SD,NARCOTICSOutside,P172021963,2000 EAGLE ST,39.280931,-76.647349,2017-07-21
469461,2798727,2627868,Medium,ED,NARCOTICSOutside,P171801841,700 BLK E 20TH ST,39.312564,-76.608209,2017-06-29
116624,597217,2718676,Medium,NW,NARCOTICS INSIDE,P172112196,3900 LIBERTY HEIGHTS AV,39.32737,-76.682524,2017-07-30
50147,241678,2853483,Medium,CD,NARCOTICS INSIDE,P172600964,900 DRUID PARK LAKE DR,39.317011,-76.636151,2017-09-17
45792,235973,2706379,Medium,ED,NARCOTICS INSIDE,P172071536,1100 E NORTH AV,39.311692,-76.603914,2017-07-26
389364,1911414,3341355,Medium,SD,NARCOTICSOutside,P180882846,500 CAMBRIA ST,39.236106,-76.603709,2018-03-29
571321,3189020,3129198,Medium,WD,NARCOTICS INSIDE,P180031048,2500 PENNSYLVANIA AV,39.310664,-76.64326899999999,2018-01-03
726873,3829875,2918615,Medium,NE,NARCOTICSOutside,P172832245,6600 HARFORD RD,39.362263,-76.55285,2017-10-10
673293,3651241,2614565,Medium,SD,NARCOTICSOutside,P171760114,400 S PAYSON ST,39.282792,-76.64836,2017-06-25
15391,58531,3044933,Medium,NE,NARCOTICS INSIDE,P173321552,5500 BOWLEYS LN,39.319194,-76.551763,2017-11-28
107006,496402,3174552,Medium,WD,NARCOTICSOutside,P180211383,900 N MONROE ST,39.299101,-76.647544,2018-01-21
480008,2809344,3049971,Medium,SW,NARCOTICS INSIDE,P173341635,3600 EDMONDSON AV,39.293991999999996,-76.677551,2017-11-30
